set,state1,state2,state3,sliderSub1,sliderSub2,sliderSub3,sliderSub4,Type
set-0,Danielle n'est vraiment pas fiable.,Danielle n'aime pas la critique.,Danielle a été impolie avec sa patronne.,Danielle oublie souvent ses devoirs.,Danielle est une mauvaise mère.,Danielle n'est pas une bonne cuisinière.,Danielle a été renvoyée de son emploi.,practice1
set-1,Cindy danse.,Cindy porte une petite robe.,Les gens applaudissent et sifflent quand Cindy danse.,Cindy est à un party.,Cindy est droguée dans un rave.,Cindy est un membre d'un groupe de musique populaire.,Cindy est une stripteaseuse.,practice2
