set,state1,state2,state3,sliderSub1,sliderSub2,sliderSub3,sliderSub4,Type
set-0,Danielle is very unreliable.,Danielle does not like criticism.,Danielle was rude to her boss.,Danielle often forgets her homework. ,Danielle is a poor mother. ,Danielle is not a very good cook. ,Danielle has been fired from her job. ,practice1
set-1,Cindy is dancing.,Cindy is wearing a small dress.,People clap and whistle when Cindy dances.,Cindy is at a party. ,Cindy is high on drugs at a rave. ,Cindy is a member of a famous pop group. ,Cindy is a stripper. ,practice2
